Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,IsPartner,IsCustomerPortal,ChannelProgramName,ChannelProgramLevelName,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,new_date__c
"0012x000002QT1TAAW","false",,"United Oil & Gas Corp.","Customer - Direct",,"1301 Avenue of the Americas  New York, NY 10019 USA","New York","NY",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='New York'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='NY'  stateCode='null'  street='1301 Avenue of the Americas  New York, NY 10019 USA' ] }","1301 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='1301 Avenue of the Americas  New York, NY 10019 USA' ] }","(212) 842-5500","(212) 842-5501","CD355118","http://www.uos.com","/services/images/photo/0012x000002QT1TAAW","4437","Energy","5.6E9","145000","Public","UOS","World's third largest oil and gas company.","Hot",,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,"High","Platinum","Yes","955.0","Yes","6654","2020-10-25",
"0012x000002QT1ZAAW","false",,"sForce",,,"The Landmark @ One Market","San Francisco","CA","94087","US",,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='San Francisco'  country='US'  countryCode='null'  geocodeAccuracy='null'  postalCode='94087'  state='CA'  stateCode='null'  street='The Landmark @ One Market' ] }",,,,,,,,,,"(415) 901-7000","(415) 901-7002",,"www.sforce.com","/services/images/photo/0012x000002QT1ZAAW",,,,,,,,,,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UacxAAC","false",,"Data Account",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UacxAAC",,,,,,,,,,"0052x000000VJeKAAW","2020-05-02T15:13:03.000Z","0052x000000VJeKAAW","2020-05-02T15:13:03.000Z","0052x000000VJeKAAW","2020-05-02T15:13:03.000Z",,"2020-05-02T15:13:03.000Z","2020-05-02T15:13:03.000Z","false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UaLjAAK","false",,"Data Account 1","Prospect",,,,,,,,,,,,,,,,,,,,,,"1223434",,"/services/images/photo/0012x000004UaLjAAK",,,,,,,,,,"0052x000000VJeKAAW","2020-05-02T15:13:14.000Z","0052x000000VJeKAAW","2020-05-28T11:34:48.000Z","0052x000000VJeKAAW","2020-05-28T11:34:48.000Z",,"2020-05-28T11:40:09.000Z","2020-05-28T11:40:09.000Z","false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UaLkAAK","false",,"Data Account 4",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UaLkAAK",,,,,,,,,,"0052x000000VJeKAAW","2020-05-02T15:13:40.000Z","0052x000000VJeKAAW","2020-05-02T15:13:40.000Z","0052x000000VJeKAAW","2020-05-02T15:13:40.000Z",,"2020-05-02T15:15:07.000Z","2020-05-02T15:15:07.000Z","false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UadBAAS","false",,"Sample Account 2",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UadBAAS",,,,,,,,,,"0052x000000VJeKAAW","2020-05-02T15:12:23.000Z","0052x000000VJeKAAW","2020-05-02T15:12:23.000Z","0052x000000VJeKAAW","2020-05-02T15:12:23.000Z",,"2020-05-02T15:12:23.000Z","2020-05-02T15:12:23.000Z","false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UbbFAAS","false",,"AutoTest3",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UbbFAAS",,,,,,,,,,"0052x000000VJeKAAW","2020-05-02T21:04:56.000Z","0052x000000VJeKAAW","2020-05-02T21:04:56.000Z","0052x000000VJeKAAW","2020-05-02T21:04:56.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UbbGAAS","false",,"AutoTest4",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UbbGAAS",,,,,,,,,,"0052x000000VJeKAAW","2020-05-02T21:04:56.000Z","0052x000000VJeKAAW","2020-05-02T21:04:56.000Z","0052x000000VJeKAAW","2020-05-02T21:04:56.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UbbJAAS","false",,"AutoTest7",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UbbJAAS",,,,,,,,,,"0052x000000VJeKAAW","2020-05-02T21:04:56.000Z","0052x000000VJeKAAW","2020-05-02T21:04:56.000Z","0052x000000VJeKAAW","2020-05-02T21:04:56.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UbbKAAS","false",,"AutoTest8",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UbbKAAS",,,,,,,,,,"0052x000000VJeKAAW","2020-05-02T21:04:56.000Z","0052x000000VJeKAAW","2020-05-02T21:04:56.000Z","0052x000000VJeKAAW","2020-05-02T21:04:56.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UbbNAAS","false",,"AutoTest11",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UbbNAAS",,,,,,,,,,"0052x000000VJeKAAW","2020-05-02T21:04:56.000Z","0052x000000VJeKAAW","2020-05-02T21:04:56.000Z","0052x000000VJeKAAW","2020-05-02T21:04:56.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UadQAAS","false",,"Data Account  3",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UadQAAS",,,,,,,,,,"0052x000000VJeKAAW","2020-05-02T15:13:32.000Z","0052x000000VJeKAAW","2020-05-02T15:13:32.000Z","0052x000000VJeKAAW","2020-05-02T15:13:32.000Z",,"2020-05-02T15:13:32.000Z","2020-05-02T15:13:32.000Z","false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UeZBAA0","false",,"RabitTest2",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UeZBAA0",,,,,,,,,,"0052x000000VJeKAAW","2020-05-03T14:51:15.000Z","0052x000000VJeKAAW","2020-05-03T14:51:15.000Z","0052x000000VJeKAAW","2020-05-03T14:51:15.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UeZFAA0","false",,"RabitTest6",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UeZFAA0",,,,,,,,,,"0052x000000VJeKAAW","2020-05-03T14:51:15.000Z","0052x000000VJeKAAW","2020-05-03T14:51:15.000Z","0052x000000VJeKAAW","2020-05-03T14:51:15.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UeZIAA0","false",,"RabitTest9",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UeZIAA0",,,,,,,,,,"0052x000000VJeKAAW","2020-05-03T14:51:15.000Z","0052x000000VJeKAAW","2020-05-03T14:51:15.000Z","0052x000000VJeKAAW","2020-05-03T14:51:15.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UeZJAA0","false",,"RabitTest10",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UeZJAA0",,,,,,,,,,"0052x000000VJeKAAW","2020-05-03T14:51:15.000Z","0052x000000VJeKAAW","2020-05-03T14:51:15.000Z","0052x000000VJeKAAW","2020-05-03T14:51:15.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004Uzn3AAC","false",,"Autorabit3",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004Uzn3AAC",,,,,,,,,,"0052x000000VJeKAAW","2020-05-06T21:10:11.000Z","0052x000000VJeKAAW","2020-05-06T21:10:11.000Z","0052x000000VJeKAAW","2020-05-06T21:10:11.000Z",,"2020-05-19T06:23:46.000Z","2020-05-19T06:23:46.000Z","false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004Uzn7AAC","false",,"Autorabit7",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004Uzn7AAC",,,,,,,,,,"0052x000000VJeKAAW","2020-05-06T21:10:11.000Z","0052x000000VJeKAAW","2020-05-06T21:10:11.000Z","0052x000000VJeKAAW","2020-05-06T21:10:11.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UzljAAC","false",,"Autorabit1",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UzljAAC",,,,,,,,,,"0052x000000VJeKAAW","2020-05-06T20:55:55.000Z","0052x000000VJeKAAW","2020-05-06T20:55:55.000Z","0052x000000VJeKAAW","2020-05-06T20:55:55.000Z",,"2020-05-28T01:26:25.000Z","2020-05-28T01:26:25.000Z","false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UzlnAAC","false",,"Autorabit5",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UzlnAAC",,,,,,,,,,"0052x000000VJeKAAW","2020-05-06T20:55:55.000Z","0052x000000VJeKAAW","2020-05-06T20:55:55.000Z","0052x000000VJeKAAW","2020-05-06T20:55:55.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
"0012x000004UzlqAAC","false",,"Autorabit8",,,,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/0012x000004UzlqAAC",,,,,,,,,,"0052x000000VJeKAAW","2020-05-06T20:55:55.000Z","0052x000000VJeKAAW","2020-05-06T20:55:55.000Z","0052x000000VJeKAAW","2020-05-06T20:55:55.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,,,,,,,
